2026-03-26 13:34:59 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 13:35:18 INFO  BaseTestPortal - Clicking verify button
2026-03-26 13:36:42 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 13:36:42 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 15:12:58 INFO  BaseTestPortal - successfully login
2026-03-26 15:12:58 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 15:12:58 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 15:13:18 INFO  BaseTestPortal - Clicking verify button
2026-03-26 15:14:47 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 15:14:47 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 15:29:35 INFO  BaseTestPortal - successfully login
2026-03-26 15:29:35 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 15:29:35 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 15:29:54 INFO  BaseTestPortal - Clicking verify button
2026-03-26 15:31:22 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 15:31:22 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 15:46:14 INFO  BaseTestPortal - successfully login
2026-03-26 15:46:14 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 15:46:14 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 15:46:33 INFO  BaseTestPortal - Clicking verify button
2026-03-26 15:46:58 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 15:46:58 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 15:48:32 INFO  BaseTestPortal - successfully login
2026-03-26 15:48:32 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 15:48:32 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 15:48:51 INFO  BaseTestPortal - Clicking verify button
2026-03-26 15:49:17 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 15:49:17 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 16:02:21 INFO  BaseTestPortal - successfully login
